UAI,Lat -WGS84,Lon – WGS84,,
0762003P,49,3523742,0,928892033
0762004R,49,62713264,0,399262746
0762005S,49,7872854,0,636002768
0762008V,49,4388935,1,143101744
0762009W,49,46158055,1,52024402
0762010X,49,89741798,1,74872337
0762011Y,49,7187973,0,786066025
0762013A,49,28917733,1,9897611
0762015C,50,4796504,1,423166751
0762017E,49,65422086,0,588364454
0762018F,49,75473207,0,376689457
0762020H,49,6118186,1,544359271
0762021J,49,48019152,1,722771105
0762023L,49,49812015,0,121472449
0762024M,49,49503875,0,99699793
0762025N,49,49441708,0,113286509
0762028S,49,50803501,0,107859159
0762029T,49,51339994,0,122841723
0762030U,49,49972856,0,144868974
0762032W,49,48415266,0,134153543
0762033X,49,5144217,0,118871478
0762034Y,49,50027611,0,134422858
0762036A,49,49658832,0,106583869
0762037B,49,51656358,0,535949654
0762038C,49,61303859,0,924463246
0762039D,49,48525459,1,44408772
0762041F,49,40636066,1,138644678
0762042G,49,4144532,1,135312323
0762057Y,49,4539872,1,35056258
0762059A,49,52358909,0,541239921
0762060B,49,47908329,1,2190295
0762061C,49,39076786,1,27025958
0762062D,49,51770077,0,156854683
0762065G,49,39429171,1,70847713
0762066H,49,41244621,1,80162393
0762067J,49,47695006,0,812761527
0762068K,49,49764269,0,791978656
0762069L,49,91053942,1,337085195
0762070M,49,68077593,0,742571811
0762071N,49,44866112,1,136690325
0762075T,49,52347629,0,221253991
0762076U,49,50161051,0,178685407
0762077V,49,47819869,0,812001936
0762082A,49,7037043,0,446499978
0762103Y,49,45408291,1,35136731
0762105A,49,64476318,0,363880876
0762106B,49,41942521,1,58986925
0762108D,49,72496256,1,366522875
0762109E,49,76420534,1,591733425
0762110F,49,70619986,0,365381991
0762111G,49,65174896,0,595145132
0762112H,49,5275618,0,569128161
0762113J,49,51825468,0,264057129
0762114K,49,64550278,0,363740375
0762115L,49,88276834,0,948596994
0762116M,49,7930652,1,10690008
0762117N,49,72794766,0,601792622
0762118P,49,53215318,0,256914501
0762119R,49,44468817,0,963296632
0762137K,49,71991557,1,46591462
0762138L,49,45848202,1,34859806
0762139M,49,31176587,1,31796667
0762140N,49,29304625,0,999317593
0762141P,49,51479219,0,91116474
0762143S,49,52628172,0,120983322
0762145U,49,44749767,1,141364186
0762146V,49,54801687,0,184659448
0762147W,49,5503682,0,180505682
0762149Y,49,61424632,0,764915447
0762158H,49,47082965,1,143204499
0762160K,49,52628172,0,120983322
0762168U,49,50443665,0,575823198
0762179F,49,44028485,1,135297678
0762180G,49,44039445,1,135292329
0762182J,49,53687186,0,141661687
0762183K,49,63750684,0,850522384
0762184L,49,50292172,0,234914381
0762185M,49,47097065,1,143195271
0762188R,49,74260094,0,513698105
0762189S,49,66730746,0,891638896
0762190T,49,50292172,0,234914381
0762191U,49,50443665,0,575823198
0762192V,49,52287637,0,117705278
0762194X,49,48245304,1,58094685
0762195Y,49,47573844,0,636746593
0762206K,50,437348,1,414183273
0762207L,49,34945699,1,523484
0762212S,50,5480604,1,364341907
0762213T,49,71788907,0,782983254
0762214U,49,40068393,1,39224621
0762215V,49,52287637,0,117705278
0762233P,49,54439254,0,953643336
0762234R,49,5536019,0,938405065
0762235S,49,34981132,1,14639
